id,text,place.name,place.country
593891101313896449,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  https://t.co/X7deoPbS97,Mesa,United States
593891102895296512,"How dare @EdMiliband_MP force Socialists to chose between the English LP and the SNP! The #SNP are the last, true Socialist party in the UK",Edinburgh,United Kingdom
593891112407924736,Account for every penny? Like you did last time? Your nose should be 2 foot long! https://t.co/k4NMrenulf,Hove,United Kingdom
593891116363214848,"@ScotlandTonight If Miliband will step aside to let Tories in, we need 59 SNP MPs more than ever to stand up for Scotland @theSNP #VoteSNP",Scotland,United Kingdom
593891141914894337,Kezia doll stop making a pure clown of yourself hen !!! #snp,Glasgow,United Kingdom
593891146939629569,"@naebD and y'know, the tories not voting down supply bills. like they did that one time.",Scotland,United Kingdom
593891152249622529,These pundits talking about reaction of #bbcqt audience is ludicrous. On the BBC's own admission half of them were Tories &amp; LibDens,Derby,United Kingdom
593891306537095169,@blairmcdougall @scottishlabour @ScotlandTonight @bbcqt LOL without SNP Labour will not get that chance stale mate!,City of London,United Kingdom
593891320357335040,@Ed_Miliband doesn't want to be in government if means being in coalition with the SNP I think he's about to be granted his wish,South East,United Kingdom
593891454440837120,The EU is one of the greatest things for our country and economy. Farage is a filthy racist.,Bristol,United Kingdom
593891491686277121,"When I see people older than me falling for the UKIP PR machine it makes me really sad, do you know what you're voting for? #GE2015",Dickens Heath,United Kingdom
593891491791015937,UK's Labour leader Miliband stumbles after live TV questions from voters http://t.co/o3eaIng7Yv,渋谷区,日本
593891495570182144,@Ed_Miliband would rather see tories in office than work with the snp. What a self interested neo-liberal tribal scumbag he is. Vote Plaid.,Newport,United Kingdom
593891651430526977,Still think it's barmy that Cameron won't debate Miliband. Surely it's a prerequisite of such proceedings. Should be compulsory! #bbcqt,Leeds,United Kingdom
593891653296979968,"""...now I'm saying I'd rather put Tories in power than make a compromise that would satisfy my traditional core voters.""",Uppsala,Sverige
593891656220463104,"Tomorrow Miliband will say 'let me tell you this, I'm not even voting for myself in case I do a deal with the SNP'.",Croydon,United Kingdom
593891669466075137,@Dungarbhan @lenathehyena @UKLabour @Ed_Miliband Time for SNP to be clear - will they vote for Labour or let the Tories in.,Newcastle Upon Tyne,United Kingdom
593891674713108480,"“@BBCJamesCook: Ed Miliband says he'd rather not have a Labour government than do a ""confidence and supply"" deal with the SNP. #GE2015” lol",Falkirk,United Kingdom
593891803801264129,"Milliband keeps coming out with this ""out to win an outright majority"" patter.

I think we all want to know, what's his ""Plan B"" ?",Motherwell,United Kingdom
